evar69,evar66,product,units,segment.id,segment.name
43406,50043578,National Trust Mulled Cider 750ml,2,,
43407,30056972,National Trust Illusion Throw Grey,1,,
43407,30094808,National Trust Illusion Throw Duck Egg,1,,
43408,50043924,National Trust Blue Spruce and Frosted Pine Reed Diffuser,1,,
43409,50036809,Let's Go Fishing! Game,1,,
43409,50045543,35 Piece Jigsaw Farm Puzzle Observation,1,,
43410,30082859,National Trust Ladies Leather Gloves Grey,1,,
43411,500469311,National Trust Jack Wolfskin Men's Polesden Jacket Black,1,,
43412,30047378,Upright Heron Sculpture,1,,
43413,50008361,Coffee Logs,1,,
43413,50038883,Perfect Lawns: A Practical Guide,1,,
43413,50041889,National Trust: 2020 Nature Month-By-Month: A Children’s Almanac,1,,
43413,50042793,National Trust Winter Woolies Christmas Cards Pack of 10,1,,
43415,50031497,National Trust Tea Towel Blue,6,,
43416,30091406,National Trust Beehive Throw Dusky Pink,1,,
43416,50044359,National Trust Fig Tree Tea Lights Set of 9,1,,
43416,50046648,Teal Diamond Weave Cushion,2,,
43418,50036794,National Trust Egg Cup Buckets Set of 4,1,,
43418,50038871,National Trust Sutton Lane Meadows Gardening Gloves,1,,
43419,50031185,National Trust Herringbone Throw Petrol Blue,1,,
43420,50043336,National Trust Engagement Diary 2020,2,,
43422,50006194,National Trust Leather Gloves Navy,1,,
43422,50042817,National Trust Family Organiser 2020,1,,
43423,50001447,National Trust Book of Scones,1,,
43423,50038874,National Trust Comfort Food,1,,
43424,50032340,Family With Two Adults Annual Gift Membership,1,,
43425,50008367,Acorn Bird Feeder with 200g Nuts,1,,
43425,50043770,National Trust Petworth Trailing Floral Cushion Square,2,,
43425,50043933,National Trust Petworth Trailing Floral Photo Frame,1,,
43425,50043938,National Trust Petworth Trailing Floral Pitcher Jug,1,,
43425,50044782,National Trust Petworth Trailing Floral Napkin Set of 2,1,,
43425,50044785,National Trust  Petworth Trailing Floral Table Cloth,1,,
43426,30088928,National Trust Rug Multicolour Fishbone,2,,
43427,50002887,Chocolate Animals Assorted,3,,
43427,50006791,National Trust Alex Clark Betty Dog Christmas Cards Pack of 10,1,,
43427,50022707,National Trust How To Read The Weather,1,,
43427,50029485,Key Multi Tool 14 in 1,1,,
43427,50031155,Silver Tree Tealight Holder Small,1,,
43427,50042797,National Trust Moonlit Hare Christmas Cards Pack of 10,1,,
43427,50042803,National Trust Mistletoe Hare Christmas Cards Pack of 10,1,,
43427,50043582,Aztec Votive Holder Antique Gold,1,,
43427,50043926,National Trust Blue Spruce and Frosted Pine Fragranced Gel Candle,2,,
43427,50044367,National Trust Christmas Pudding Milk Chocolate Bar,1,,
43428,50022695,Plant Stake Dragonfly,2,,
43429,30072523,Gothic Stone Garden Mirror,1,,
43430,50023111,Wooden Tree Swing Seat,1,,
43431,50042805,A National Trust Christmas' Advent Calendar,1,,
43433,30076947,National Trust Fishbone Throw Blue,1,,
43434,50037746,Extra Large Rubber and Coir Door Mat,3,,
43435,50028820,National Trust Moonlit Owl Christmas Cards Pack of 10,1,,
43435,50042801,National Trust Stag in a Snowstorm Christmas Cards Pack of 10,1,,
43436,30078991,Dog Tail Cast Iron Hooks,1,,
43436,50032341,Individual Annual Gift Membership (aged 26 or over),1,,
43437,50042817,National Trust Family Organiser 2020,1,,
43439,50023182,National Trust Floor Cleaner Herbal,1,,
43439,50023184,National Trust Organic Washing Up Liquid Citrus,1,,
43439,50023185,National Trust Multi-Surface Spray Mint,1,,
43440,500216161,National Trust Oak Leaf Hunter Chelsea Field Boot,1,,
43441,50036064,National Trust Sutton Lane Meadows Mug Saxifrage Flowers,1,,
43441,50043941,National Trust Petworth Trailing Floral Mug Floral,3,,
43443,30072048,Recycled Metal Robin Sculpture,1,,
43443,30093875,White Egret Metal Sculpture,1,,
43444,50042817,National Trust Family Organiser 2020,2,,
43445,50042817,National Trust Family Organiser 2020,4,,
43446,50028836,National Trust Berry Wreath Christmas Card Pack of 10,2,,
43447,50006791,National Trust Alex Clark Betty Dog Christmas Cards Pack of 10,5,,
43448,50043766,National Trust Meadow Check Charcoal Throw,1,,
43449,50038887,National Trust Garden Notecards pack of 8,1,,
43449,50042536,Ceramic Star Decoration White and Blue,1,,
43449,50042538,Ceramic Oak Leaf White and Gold,1,,
43450,50042818,National Trust Square Railway Poster Art Calendar 2020,1,,
43450,50043338,National Trust Waterscapes Calendar 2020,2,,
43450,50043339,National Trust Gardens Calendar 2020,3,,
43451,50028276,National Trust Northern Ireland Mug,1,,
43451,50034714,National Trust Wiltshire Mug,1,,
43452,50028820,National Trust Moonlit Owl Christmas Cards Pack of 10,1,,
43452,50042793,National Trust Winter Woolies Christmas Cards Pack of 10,1,,
43452,50042797,National Trust Moonlit Hare Christmas Cards Pack of 10,1,,
43454,500446181,Leather Gloves Black,1,,
43455,50042547,Felt Dove Tree Topper,1,,
43456,50008362,National Trust Fishbone Throw Seafoam Green,2,,
43457,50039182,Waterproof Backed Herringbone Rug Assorted,1,,
43459,50039099,Small Wonder Gift Dormouse,1,,
43460,50043719,National Trust Gingerbread House Kit 835g,1,,
43461,50023156,Children's Wheelbarrow,1,,
43462,30058415,Manual of Housekeeping,1,,
43464,30058415,Manual of Housekeeping,1,,
43464,50042380,National Trust Annie Soudain Notecards Pack of 20,1,,
43464,50042807,National Trust Garden Christmas Cards Pack of 10,1,,
43465,50001891,Beetroot and Horseradish Relish,1,,
43465,50001894,Pear Orange and Ginger Chutney,1,,
43465,50001896,Gooseberry and Coriander Chutney,1,,
43465,50028836,National Trust Berry Wreath Christmas Card Pack of 10,1,,
43465,50029515,National Trust Three Robins Christmas Card Pack 10,1,,
43465,50029521,National Trust Winter Orchard Berries Christmas Roll Wrap 3m,1,,
43465,50029877,Hammered Iron Sculpture Bird,1,,
43465,50037394,National Trust Reed Diffuser Fig and Oakmoss,1,,
43465,50038371,National Trust Pear and Ginger Cordial,1,,
43465,50042794,National Trust 'Wishing You a Happy Christmas' Christmas Cards Pack of 10,1,,
43465,50042814,National Trust Trailing Floral Tissue Paper,1,,
43466,50037924,National Trust Herringbone Block Pastel Throw,1,,
43467,50042802,National Trust Robin Christmas Cards Pack of 10,1,,
43467,50043339,National Trust Gardens Calendar 2020,1,,
43468,50042817,National Trust Family Organiser 2020,1,,
43470,50043339,National Trust Gardens Calendar 2020,1,,
43471,30019858,National Trust Recycled Woollen Rug,5,,
43472,50038885,National Trust Landscapes Notecards pack of 8,1,,
43472,50038887,National Trust Garden Notecards pack of 8,1,,
43473,50029517,National Trust Moonlight Snowfall Christmas Card Pack of 10,1,,
43473,50042793,National Trust Winter Woolies Christmas Cards Pack of 10,1,,
43473,50042802,National Trust Robin Christmas Cards Pack of 10,1,,
43475,50023674,National Trust Log Bird House Wicken Fen Collection,1,,
43475,50024518,Cast Iron Acorn Boot Brush,1,,
43475,50042818,National Trust Square Railway Poster Art Calendar 2020,1,,
43478,50028820,National Trust Moonlit Owl Christmas Cards Pack of 10,2,,
43478,50042797,National Trust Moonlit Hare Christmas Cards Pack of 10,1,,
43478,50042803,National Trust Mistletoe Hare Christmas Cards Pack of 10,1,,
43479,30067588,Bronze Frith Sculpture Howard Hare,1,,
43480,50042380,National Trust Annie Soudain Notecards Pack of 20,2,,
43481,30091406,National Trust Beehive Throw Dusky Pink,1,,
43482,50043714,National Trust Scarf Petworth Red,1,,
43483,50043702,Pleated Scarf Grey and Duck Egg,1,,
43484,50024472,National Trust Rosemary Leaf and Orange Milled Soap 100g,2,,
43484,50036065,National Trust Sutton Lane Meadows Mug Multi Flowers,2,,
43484,50043941,National Trust Petworth Trailing Floral Mug Floral,2,,
43484,50044656,National Trust Knightshayes Floral Trail Mug,2,,
43485,50038872,National Trust Sutton Lane Meadows Gardening Kneeler,1,,
43486,50043767,National Trust Twill Green Throw,1,,
43489,30072523,Gothic Stone Garden Mirror,1,,
43490,50042806,National Trust Large Value Pack Christmas Cards Pack of 30,2,,
43491,50039098,Small Wonder Gift Red Squirrel,1,,
43492,30056972,National Trust Illusion Throw Grey,1,,
43492,30094808,National Trust Illusion Throw Duck Egg,1,,
43493,50028820,National Trust Moonlit Owl Christmas Cards Pack of 10,9,,
43495,30079240,National Trust Mini Flower Press,1,,
43495,30094808,National Trust Illusion Throw Duck Egg,1,,
